serviceappointment_id,created_date,appointment_date,status,arrival_window_start_time,arrival_window_end_time,on_site,service_territory,work_type,customer_home,serviceresource_id
7000002bMPVAA2,2022-09-21,2022-10-11,completed,2022-10-11 06:00:00,2022-10-11 08:00:00,2022-10-11 06:33:00,T-Limburg,repair,1,v0000000V0tCAE
7000002bTR9AAM,2022-09-23,2022-10-18,completed,2022-10-18 10:00:00,2022-10-18 12:00:00,2022-10-18 11:55:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bThMAAU,2022-09-23,2022-10-04,completed,2022-10-04 14:00:00,2022-10-04 16:00:00,2022-10-04 15:23:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bWcPAAU,2022-09-26,2022-10-14,completed,2022-10-14 06:00:00,2022-10-14 08:00:00,2022-10-14 07:28:00,T-Limburg,repair,1,v0000000V0tCAE
7000002ajy1AAA,2022-09-06,2022-10-14,cannot start,2022-10-14 12:00:00,2022-10-14 14:00:00,2022-10-14 14:14:00,T-Limburg,repair,0,v0000000V0tCAE
7000002c2j3AAA,2022-10-07,2022-10-21,completed,2022-10-21 06:00:00,2022-10-21 08:00:00,2022-10-21 08:05:00,T-Limburg,repair,1,v0000000V0tCAE
7000002alPSAAY,2022-09-06,2022-10-12,completed,2022-10-12 06:00:00,2022-10-12 08:00:00,2022-10-12 07:09:00,T-Limburg,repair,1,v0000000V0tCAE
7000002br79AAA,2022-10-03,2022-10-17,cannot start,2022-10-17 12:00:00,2022-10-17 14:00:00,2022-10-17 13:52:00,T-Limburg,installation,0,v0000000V0tCAE
7000002b1etAAA,2022-09-13,2022-10-13,completed,2022-10-13 06:00:00,2022-10-13 08:00:00,2022-10-13 06:31:00,T-Limburg,repair,1,v0000000V0tCAE
7000002b3pyAAA,2022-09-14,2022-10-13,completed,2022-10-13 12:00:00,2022-10-13 14:00:00,2022-10-13 13:38:00,T-Limburg,installation,1,v0000000V0tCAE
7000002b4i1AAA,2022-09-14,2022-10-10,completed,2022-10-10 14:00:00,2022-10-10 16:00:00,2022-10-10 16:36:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bDCsAAM,2022-09-19,2022-10-18,completed,2022-10-18 12:00:00,2022-10-18 14:00:00,2022-10-18 12:35:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bo9bAAA,2022-10-02,2022-10-03,cannot start,2022-10-03 08:00:00,2022-10-03 10:00:00,2022-10-03 09:25:00,T-Limburg,repair,0,v0000000V0tCAE
7000002bWO3AAM,2022-09-26,2022-10-05,completed,2022-10-05 10:00:00,2022-10-05 12:00:00,2022-10-05 11:37:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bTk6AAE,2022-09-23,2022-10-21,completed,2022-10-21 12:00:00,2022-10-21 14:00:00,2022-10-21 11:56:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bTqxAAE,2022-09-23,2022-10-05,completed,2022-10-05 10:00:00,2022-10-05 12:00:00,2022-10-05 11:22:00,T-Limburg,installation,1,v0000000V0tCAE
7000002brANAAY,2022-10-03,2022-10-12,cannot start,2022-10-12 10:00:00,2022-10-12 12:00:00,2022-10-12 12:28:00,T-Limburg,repair,0,v0000000V0tCAE
7000002bYnjAAE,2022-09-26,2022-10-03,completed,2022-10-03 14:00:00,2022-10-03 16:00:00,2022-10-03 14:48:00,T-Limburg,installation,1,v0000000V0tCAE
7000002beq6AAA,2022-09-28,2022-10-03,completed,2022-10-03 14:00:00,2022-10-03 16:00:00,2022-10-03 13:57:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bi1vAAA,2022-09-29,2022-10-10,completed,2022-10-10 08:00:00,2022-10-10 10:00:00,2022-10-10 09:57:00,T-Limburg,repair,1,v0000000V0tCAE
7000002bbNjAAI,2022-09-27,2022-10-07,completed,2022-10-07 12:00:00,2022-10-07 14:00:00,2022-10-07 12:38:00,T-Limburg,repair,1,v0000000V0tCAE
7000002blpFAAQ,2022-09-30,2022-10-04,completed,2022-10-04 08:00:00,2022-10-04 10:00:00,2022-10-04 08:30:00,T-Limburg,repair,1,v0000000V0tCAE
7000002br74AAA,2022-10-03,2022-10-14,completed,2022-10-14 12:00:00,2022-10-14 14:00:00,2022-10-14 12:08:00,T-Limburg,repair,1,v0000000V0tCAE
7000002bsgZAAQ,2022-10-04,2022-10-18,completed,2022-10-18 10:00:00,2022-10-18 12:00:00,2022-10-18 11:10:00,T-Limburg,installation,1,v0000000V0tCAE
7000002buDUAAY,2022-10-04,2022-10-13,completed,2022-10-13 08:00:00,2022-10-13 10:00:00,2022-10-13 10:18:00,T-Limburg,repair,1,v0000000V0tCAE
7000002bxyNAAQ,2022-10-05,2022-10-17,completed,2022-10-17 08:00:00,2022-10-17 10:00:00,2022-10-17 08:50:00,T-Limburg,installation,1,v0000000V0tCAE
7000002c60bAAA,2022-10-08,2022-10-17,completed,2022-10-17 08:00:00,2022-10-17 10:00:00,2022-10-17 10:04:00,T-Limburg,installation,1,v0000000V0tCAE
7000002c8qyAAA,2022-10-10,2022-10-12,completed,2022-10-12 08:00:00,2022-10-12 10:00:00,2022-10-12 09:58:00,T-Limburg,repair,1,v0000000V0tCAE
7000002cG3CAAU,2022-10-12,2022-10-18,completed,2022-10-18 08:00:00,2022-10-18 10:00:00,2022-10-18 10:35:00,T-Limburg,installation,1,v0000000V0tCAE
7000002cRXdAAM,2022-10-17,2022-10-21,completed,2022-10-21 12:00:00,2022-10-21 14:00:00,2022-10-21 13:32:00,T-Limburg,repair,1,v0000000V0tCAE
7000002akf0AAA,2022-09-06,2022-10-10,completed,2022-10-10 06:00:00,2022-10-10 08:00:00,2022-10-10 06:02:00,T-Limburg,repair,1,v0000000V0tCAE
7000002bTk1AAE,2022-09-23,2022-10-10,cannot start,2022-10-10 06:00:00,2022-10-10 08:00:00,2022-10-10 06:47:00,T-Limburg,repair,0,v0000000V0tCAE
7000002b9PTAAY,2022-09-16,2022-10-21,completed,2022-10-21 12:00:00,2022-10-21 14:00:00,2022-10-21 12:32:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bmDRAAY,2022-09-30,2022-10-03,completed,2022-10-03 10:00:00,2022-10-03 12:00:00,2022-10-03 11:48:00,T-Limburg,repair,1,v0000000V0tCAE
7000002bt8JAAQ,2022-10-04,2022-10-17,completed,2022-10-17 06:00:00,2022-10-17 08:00:00,2022-10-17 07:17:00,T-Limburg,installation,1,v0000000V0tCAE
7000002c8UJAAY,2022-10-10,2022-10-12,completed,2022-10-12 06:00:00,2022-10-12 08:00:00,2022-10-12 06:30:00,T-Limburg,repair,1,v0000000V0tCAE
7000002bSqmAAE,2022-09-23,2022-10-10,cannot start,2022-10-10 12:00:00,2022-10-10 14:00:00,2022-10-10 13:58:00,T-Limburg,repair,0,v0000000V0tCAE
7000002bQWBAA2,2022-09-22,2022-10-03,cannot start,2022-10-03 12:00:00,2022-10-03 14:00:00,2022-10-03 13:36:00,T-Limburg,repair,0,v0000000V0tCAE
7000002bTjDAAU,2022-09-23,2022-10-03,cannot start,2022-10-03 12:00:00,2022-10-03 14:00:00,2022-10-03 12:49:00,T-Limburg,installation,0,v0000000V0tCAE
7000002bl0lAAA,2022-09-30,2022-10-05,completed,2022-10-05 14:00:00,2022-10-05 16:00:00,2022-10-05 14:43:00,T-Limburg,repair,1,v0000000V0tCAE
7000002bSYTAA2,2022-09-23,2022-10-13,completed,2022-10-13 06:00:00,2022-10-13 08:00:00,2022-10-13 07:25:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bIniAAE,2022-09-20,2022-10-04,completed,2022-10-04 12:00:00,2022-10-04 14:00:00,2022-10-04 12:44:00,T-Limburg,installation,1,v0000000V0tCAE
7000002aef4AAA,2022-09-02,2022-10-04,completed,2022-10-04 12:00:00,2022-10-04 14:00:00,2022-10-04 13:14:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bu2WAAQ,2022-10-04,2022-10-07,completed,2022-10-07 08:00:00,2022-10-07 10:00:00,2022-10-07 10:00:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bvtWAAQ,2022-10-05,2022-10-18,cannot start,2022-10-18 12:00:00,2022-10-18 14:00:00,2022-10-18 12:19:00,T-Limburg,installation,0,v0000000V0tCAE
7000002c4GcAAI,2022-10-07,2022-10-21,completed,2022-10-21 08:00:00,2022-10-21 10:00:00,2022-10-21 09:01:00,T-Limburg,repair,1,v0000000V0tCAE
7000002bxNqAAI,2022-10-05,2022-10-18,cannot start,2022-10-18 08:00:00,2022-10-18 10:00:00,2022-10-18 10:09:00,T-Limburg,installation,0,v0000000V0tCAE
7000002bENIAA2,2022-09-19,2022-10-07,completed,2022-10-03 06:00:00,2022-10-03 08:00:00,2022-10-03 06:56:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bkzsAAA,2022-09-30,2022-10-11,completed,2022-10-11 06:00:00,2022-10-11 08:00:00,2022-10-11 07:47:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bThgAAE,2022-09-23,2022-10-10,cannot start,2022-10-10 12:00:00,2022-10-10 14:00:00,2022-10-10 14:02:00,T-Limburg,repair,0,v0000000V0tCAE
7000002bStqAAE,2022-09-23,2022-10-10,completed,2022-10-10 06:00:00,2022-10-10 08:00:00,2022-10-10 08:29:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bsqZAAQ,2022-10-04,2022-10-13,completed,2022-10-13 14:00:00,2022-10-13 16:00:00,2022-10-13 15:27:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bSnOAAU,2022-09-23,2022-10-03,completed,2022-10-03 12:00:00,2022-10-03 14:00:00,2022-10-03 12:29:00,T-Limburg,installation,1,v0000000V0tCAE
7000002c7IqAAI,2022-10-10,2022-10-10,completed,2022-10-10 10:00:00,2022-10-10 12:00:00,2022-10-10 12:16:00,T-Limburg,repair,1,v0000000V0tCAE
7000002blBjAAI,2022-09-30,2022-10-03,completed,2022-10-03 08:00:00,2022-10-03 10:00:00,2022-10-03 08:56:00,T-Limburg,repair,1,v0000000V0tCAE
7000002bzGDAAY,2022-10-06,2022-10-10,cannot start,2022-10-10 08:00:00,2022-10-10 10:00:00,2022-10-10 09:55:00,T-Limburg,repair,0,v0000000V0tCAE
7000002c4ORAAY,2022-10-07,2022-10-10,completed,2022-10-10 08:00:00,2022-10-10 10:00:00,2022-10-10 09:02:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bkLJAAY,2022-09-30,2022-10-05,completed,2022-10-05 12:00:00,2022-10-05 14:00:00,2022-10-05 14:12:00,T-Limburg,installation,1,v0000000V0tCAE
7000002awIiAAI,2022-09-12,2022-10-14,completed,2022-10-14 06:00:00,2022-10-14 08:00:00,2022-10-14 07:48:00,T-Limburg,repair,1,v0000000V0tCAE
7000002bTgYAAU,2022-09-23,2022-10-04,completed,2022-10-04 06:00:00,2022-10-04 08:00:00,2022-10-04 06:29:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bTmqAAE,2022-09-23,2022-10-03,completed,2022-10-03 06:00:00,2022-10-03 08:00:00,2022-10-03 07:56:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bhqdAAA,2022-09-29,2022-10-03,cannot start,2022-10-03 14:00:00,2022-10-03 16:00:00,2022-10-03 16:14:00,T-Limburg,repair,0,v0000000V0tCAE
7000002aktHAAQ,2022-09-06,2022-10-18,completed,2022-10-18 06:00:00,2022-10-18 08:00:00,2022-10-18 07:37:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bTzaAAE,2022-09-23,2022-10-10,completed,2022-10-10 14:00:00,2022-10-10 16:00:00,2022-10-10 14:41:00,T-Limburg,repair,1,v0000000V0tCAE
7000002c61yAAA,2022-10-08,2022-10-18,completed,2022-10-18 08:00:00,2022-10-18 10:00:00,2022-10-18 09:39:00,T-Limburg,installation,1,v0000000V0tCAE
7000002br0XAAQ,2022-10-03,2022-10-04,completed,2022-10-04 06:00:00,2022-10-04 08:00:00,2022-10-04 06:41:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bsZOAAY,2022-10-04,2022-10-04,completed,2022-10-04 14:00:00,2022-10-04 16:00:00,2022-10-04 13:51:00,T-Limburg,installation,1,v0000000V0tCAE
7000002aiilAAA,2022-09-05,2022-10-17,completed,2022-10-17 14:00:00,2022-10-17 16:00:00,2022-10-17 14:03:00,T-Limburg,installation,1,v0000000V0tCAE
7000002c60gAAA,2022-10-08,2022-10-17,completed,2022-10-17 10:00:00,2022-10-17 12:00:00,2022-10-17 10:48:00,T-Limburg,repair,1,v0000000V0tCAE
7000002br4oAAA,2022-10-03,2022-10-13,completed,2022-10-13 12:00:00,2022-10-13 14:00:00,2022-10-13 14:26:00,T-Limburg,repair,1,v0000000V0tCAE
7000000GyMCAA0,2022-09-19,2022-10-20,completed,2022-10-20 06:00:00,2022-10-20 08:00:00,2022-10-20 06:51:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002aLazAAE,2022-08-24,2022-10-04,completed,2022-10-04 06:00:00,2022-10-04 08:00:00,2022-10-04 06:03:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002aYUzAAM,2022-08-31,2022-10-05,completed,2022-10-05 10:00:00,2022-10-05 12:00:00,2022-10-05 11:10:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002agWOAAY,2022-09-04,2022-10-05,completed,2022-10-05 06:00:00,2022-10-05 08:00:00,2022-10-05 06:12:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002ak3fAAA,2022-09-06,2022-10-06,completed,2022-10-06 12:00:00,2022-10-06 14:00:00,2022-10-06 12:44:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002bSCrAAM,2022-09-23,2022-10-19,completed,2022-10-19 10:00:00,2022-10-19 12:00:00,2022-10-19 11:56:00,T-Utrecht-Noord,installation,1,v000000LVXgCAO
7000002bWfxAAE,2022-09-26,2022-10-10,completed,2022-10-10 08:00:00,2022-10-10 10:00:00,2022-10-10 08:35:00,T-Gelderland-Zuid,repair,1,v000000LVXgCAO
7000002bdUDAAY,2022-09-28,2022-10-03,completed,2022-10-03 08:00:00,2022-10-03 10:00:00,2022-10-03 10:02:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002bifMAAQ,2022-09-29,2022-10-20,completed,2022-10-20 10:00:00,2022-10-20 12:00:00,2022-10-20 11:48:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002bqutAAA,2022-10-03,2022-10-20,completed,2022-10-20 10:00:00,2022-10-20 12:00:00,2022-10-20 11:06:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002bzOMAAY,2022-10-06,2022-10-19,completed,2022-10-19 12:00:00,2022-10-19 14:00:00,2022-10-19 13:44:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002c4EvAAI,2022-10-07,2022-10-11,completed,2022-10-11 12:00:00,2022-10-11 14:00:00,2022-10-11 12:38:00,T-Gelderland-Zuid,repair,1,v000000LVXgCAO
7000002cBK7AAM,2022-10-11,2022-10-12,completed,2022-10-12 08:00:00,2022-10-12 10:00:00,2022-10-12 09:16:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002cCqiAAE,2022-10-11,2022-10-19,completed,2022-10-19 12:00:00,2022-10-19 14:00:00,2022-10-19 13:23:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002bemTAAQ,2022-09-28,2022-10-04,cannot start,2022-10-04 08:00:00,2022-10-04 10:00:00,2022-10-04 09:35:00,T-Gelderland-Zuid,installation,0,v000000LVXgCAO
7000002ae5aAAA,2022-09-02,2022-10-05,completed,2022-10-05 14:00:00,2022-10-05 16:00:00,2022-10-05 15:25:00,T-Utrecht-Noord,installation,1,v000000LVXgCAO
7000002af0HAAQ,2022-09-02,2022-10-03,completed,2022-10-03 14:00:00,2022-10-03 16:00:00,2022-10-03 14:37:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002c9JvAAI,2022-10-10,2022-10-20,completed,2022-10-20 10:00:00,2022-10-20 12:00:00,2022-10-20 11:20:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002by25AAA,2022-10-05,2022-10-18,completed,2022-10-18 10:00:00,2022-10-18 12:00:00,2022-10-18 11:17:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002c1PMAAY,2022-10-06,2022-10-19,completed,2022-10-19 14:00:00,2022-10-19 16:00:00,2022-10-19 15:52:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002aSCQAA2,2022-08-29,2022-10-03,cannot start,2022-10-03 10:00:00,2022-10-03 12:00:00,2022-10-03 11:48:00,T-Gelderland-Zuid,installation,0,v000000LVXgCAO
7000002be3NAAQ,2022-09-28,2022-10-19,completed,2022-10-19 08:00:00,2022-10-19 10:00:00,2022-10-19 08:13:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002aEFTAA2,2022-08-22,2022-10-03,completed,2022-10-03 12:00:00,2022-10-03 14:00:00,2022-10-03 12:38:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002bMTTAA2,2022-09-21,2022-10-11,completed,2022-10-11 10:00:00,2022-10-11 12:00:00,2022-10-11 10:02:00,T-Gelderland-Zuid,repair,1,v000000LVXgCAO
7000002bvVPAAY,2022-10-05,2022-10-18,cannot start,2022-10-18 12:00:00,2022-10-18 14:00:00,2022-10-18 13:39:00,T-Gelderland-Zuid,installation,0,v000000LVXgCAO
7000002bPBMAA2,2022-09-22,2022-10-04,cannot start,2022-10-04 12:00:00,2022-10-04 14:00:00,2022-10-04 14:20:00,T-Gelderland-Zuid,installation,0,v000000LVXgCAO
7000002cF9EAAU,2022-10-12,2022-10-18,completed,2022-10-18 08:00:00,2022-10-18 10:00:00,2022-10-18 09:11:00,T-Gelderland-Zuid,repair,1,v000000LVXgCAO
7000002b7qmAAA,2022-09-15,2022-10-05,completed,2022-10-05 10:00:00,2022-10-05 12:00:00,2022-10-05 10:53:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002bXDzAAM,2022-09-26,2022-10-11,completed,2022-10-11 14:00:00,2022-10-11 16:00:00,2022-10-11 15:31:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002bXeqAAE,2022-09-26,2022-10-10,cannot start,2022-10-10 12:00:00,2022-10-10 14:00:00,2022-10-10 14:15:00,T-Gelderland-Zuid,installation,0,v000000LVXgCAO
7000002bDXWAA2,2022-09-19,2022-10-03,cannot start,2022-10-03 14:00:00,2022-10-03 16:00:00,2022-10-03 15:44:00,T-Gelderland-Zuid,installation,0,v000000LVXgCAO
7000002bxTUAAY,2022-10-05,2022-10-13,completed,2022-10-13 12:00:00,2022-10-13 14:00:00,2022-10-13 13:01:00,T-Gelderland-Zuid,repair,1,v000000LVXgCAO
7000002bqQZAAY,2022-10-03,2022-10-17,cannot start,2022-10-17 08:00:00,2022-10-17 10:00:00,2022-10-17 09:37:00,T-Gelderland-Zuid,repair,0,v000000LVXgCAO
7000002bvUSAAY,2022-10-05,2022-10-12,cannot start,2022-10-12 12:00:00,2022-10-12 14:00:00,2022-10-12 13:16:00,T-Gelderland-Zuid,repair,0,v000000LVXgCAO
7000002aQGGAA2,2022-08-26,2022-10-03,completed,2022-10-03 12:00:00,2022-10-03 14:00:00,2022-10-03 13:59:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002awrnAAA,2022-09-12,2022-10-03,completed,2022-10-03 06:00:00,2022-10-03 08:00:00,2022-10-03 06:02:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002b9AiAAI,2022-09-16,2022-10-06,completed,2022-10-06 10:00:00,2022-10-06 12:00:00,2022-10-06 11:07:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002bqWNAAY,2022-10-03,2022-10-17,completed,2022-10-17 14:00:00,2022-10-17 16:00:00,2022-10-17 15:44:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002bHVZAA2,2022-09-20,2022-10-05,completed,2022-10-05 12:00:00,2022-10-05 14:00:00,2022-10-05 14:03:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002boX9AAI,2022-10-03,2022-10-10,completed,2022-10-10 10:00:00,2022-10-10 12:00:00,2022-10-10 11:26:00,T-Gelderland-Zuid,repair,1,v000000LVXgCAO
7000002bbHRAAY,2022-09-27,2022-10-05,cannot start,2022-10-05 08:00:00,2022-10-05 10:00:00,2022-10-05 10:26:00,T-Gelderland-Zuid,repair,0,v000000LVXgCAO
7000002bYNgAAM,2022-09-26,2022-10-04,completed,2022-10-04 14:00:00,2022-10-04 16:00:00,2022-10-04 13:57:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002bkwAAAQ,2022-09-30,2022-10-12,completed,2022-10-12 14:00:00,2022-10-12 16:00:00,2022-10-12 16:22:00,T-Gelderland-Zuid,repair,1,v000000LVXgCAO
7000002aPwBAAU,2022-08-26,2022-10-10,completed,2022-10-10 14:00:00,2022-10-10 16:00:00,2022-10-10 14:39:00,T-Gelderland-Zuid,repair,1,v000000LVXgCAO
7000002aVkzAAE,2022-08-30,2022-10-03,completed,2022-10-03 12:00:00,2022-10-03 14:00:00,2022-10-03 13:58:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002awRpAAI,2022-09-12,2022-10-06,cannot start,2022-10-06 12:00:00,2022-10-06 14:00:00,2022-10-06 14:13:00,T-Gelderland-Zuid,installation,0,v000000LVXgCAO
7000002c1MhAAI,2022-10-06,2022-10-18,completed,2022-10-18 14:00:00,2022-10-18 16:00:00,2022-10-18 15:37:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002c5ezAAA,2022-10-08,2022-10-11,completed,2022-10-11 14:00:00,2022-10-11 16:00:00,2022-10-11 14:41:00,T-Gelderland-Zuid,repair,1,v000000LVXgCAO
7000002aKz0AAE,2022-08-24,2022-10-06,completed,2022-10-06 08:00:00,2022-10-06 10:00:00,2022-10-06 08:26:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002bfTSAAY,2022-09-28,2022-10-04,completed,2022-10-04 10:00:00,2022-10-04 12:00:00,2022-10-04 10:47:00,T-Gelderland-Zuid,repair,1,v000000LVXgCAO
7000002bfVJAAY,2022-09-28,2022-10-18,completed,2022-10-18 12:00:00,2022-10-18 14:00:00,2022-10-18 12:54:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002c8cYAAQ,2022-10-10,2022-10-18,completed,2022-10-18 14:00:00,2022-10-18 16:00:00,2022-10-18 15:05:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002bps3AAA,2022-10-03,2022-10-19,completed,2022-10-19 10:00:00,2022-10-19 12:00:00,2022-10-19 10:47:00,T-Utrecht-Noord,installation,1,v000000LVXgCAO
7000002b50FAAQ,2022-09-14,2022-10-10,completed,2022-10-10 12:00:00,2022-10-10 14:00:00,2022-10-10 13:43:00,T-Utrecht-Noord,installation,1,v000000LVXgCAO
7000002banCAAQ,2022-09-27,2022-10-03,completed,2022-10-03 10:00:00,2022-10-03 12:00:00,2022-10-03 11:26:00,T-Gelderland-Zuid,repair,1,v000000LVXgCAO
7000002bwCTAAY,2022-10-05,2022-10-20,completed,2022-10-20 14:00:00,2022-10-20 16:00:00,2022-10-20 15:02:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
7000002bXJ4AAM,2022-09-26,2022-10-05,completed,2022-10-05 12:00:00,2022-10-05 14:00:00,2022-10-05 14:08:00,T-Gelderland-Zuid,repair,1,v000000LVXgCAO
7000002b3MIAAY,2022-09-14,2022-10-13,completed,2022-10-13 12:00:00,2022-10-13 14:00:00,2022-10-13 13:07:00,T-Gelderland-Zuid,installation,1,v000000LVXgCAO
