response_id,serviceappointment_id,submitted_at,nps
zx6bzd0f2nbzmx7szx6be02v6hrt7qu7,7000002ax3oAAA,2022-10-12 19:30:58,4.0
xa3836jv2cyqigtgxa38sn842lyrc6ut,7000002b1UBAAY,2022-10-03 15:42:38,6.0
mvi3hsdhxjq2ewaczy7mvi3hsddnm0dt,7000002b9ImAAI,2022-10-18 18:12:37,10.0
h3o73211cygtfolh3fewsazs8pqkibpn,7000002bCSuAAM,2022-10-18 19:01:55,7.0
3h1ua4zu4ucbs4js6x7vun3h1ua4zz3h,7000002bCwpAAE,2022-10-07 13:52:38,8.0
995mng0yb59b995mwqz6063pgfrccjvx,7000002bDffAAE,2022-10-12 05:03:31,4.0
2x0hiaipnbjzy01kjd2x0hill2hczh42,7000002bE5nAAE,2022-10-18 13:51:33,9.0
8g276so5d07hsyecdt8g2bp83l1207tk,7000002bH8kAAE,2022-10-12 18:28:24,6.0
axkic0ltz2fspm0vspllaxkic06qno50,7000002bMXeAAM,2022-10-30 09:12:43,5.0
0gr8e0q22ysa0cj8gkp0gr8e0wu3ataf,7000002bSdOAAU,2022-10-19 18:13:37,6.0
we6z3ez94gv992we6zpbvn89hhh159b8,7000002bzLNAAY,2022-10-21 13:26:04,9.0
c9v50xbqb9oqndgms3c9vh47hpqtugjh,7000002aU6eAAE,2022-10-10 14:42:34,7.0
p4j6b70e6qgbr3ao0gcjgvgp4j6b70nx,7000002aWdQAAU,2022-10-04 11:34:28,9.0
03q6n2dniqayrt7czwy03q6nwlmeyf2b,7000002alI2AAI,2022-10-08 05:35:05,7.0
awigleape6ut15awigixflmylqb1cyjc,7000002atcaAAA,2022-10-10 16:59:54,3.0
3ojj1fshahbxoz7j73ojjbs4xi96rwjn,7000002b7jlAAA,2022-10-05 17:11:33,9.0
sttvcvc5ascawlj1aavhjsttvcvcfgx6,7000002bDOjAAM,2022-10-18 18:08:04,8.0
2j1ly9m4qh9i9r1s8f2j1ly9hhygh2nn,7000002bFEqAAM,2022-10-08 05:35:38,8.0
2dnxzvxq3l93f62w482dnxzvx1idj665,7000002bFXiAAM,2022-10-18 13:58:00,9.0
2gfdnq1sqyhs8712g92i5jz63hggyz9n,7000002bQejAAE,2022-10-11 15:38:58,6.0
0y3mnw43j00c3k040y3mnwqcg668ykvr,7000002beuXAAQ,2022-10-19 10:24:47,5.0
g3mdud2lsjjghhma3g3mdudppsnp8ldg,7000002bzO2AAI,2022-10-06 12:18:16,7.0
g3mdud2lsjjghhma3g3mdudppsnp8ldg,7000002EK6GAAW,2022-10-06 12:18:16,7.0
ltawwi9ajhlsiw680215ltawwymyi9w6,7000002aWnpAAE,2022-10-05 19:53:00,9.0
5qogi2sluxtlafcw0wzd5qogi2tb2q6b,7000002afwQAAQ,2022-10-07 19:55:35,9.0
zt3075d23z1w1cx8ekbpwazt30w60ph7,7000002atO4AAI,2022-10-05 16:58:35,8.0
nhitxcqix6ac8yl2wnhitx8x7bsi63ix,7000002b1Z5AAI,2022-10-04 10:09:16,8.0
mb9cob3oyu33v1bqzieqmb9cook03mnv,7000002b25fAAA,2022-10-12 14:52:47,4.0
iz4c7ydp1nsfmm3sa4obiz4t45w7qd4k,7000002bHI1AAM,2022-10-13 09:43:24,3.0
owlut6lsyvfkpg8gowlutb37tbcehi1o,7000002bTqiAAE,2022-10-19 14:50:50,6.0
bfkoyiwcjpgirv6rqj8albfkoyiwcjyf,7000002bwssAAA,2022-10-20 10:02:12,4.0
ag9dua7qbfr4mlxvag94fxfdlcg4218d,7000002ak8zAAA,2022-10-20 12:19:00,7.0
c8pgzmmlte853grn29c8pgzfvxqxsk24,7000002be1gAAA,2022-10-24 10:25:58,7.0
6f9xf0jsrhrr51a8oq6f9xf0lw6yg9s9,7000002beUtAAI,2022-10-20 14:03:48,9.0
6qy7f7fkeyrvup4qd6qy7f7vyby8mep2,7000002ZU1MAAW,2022-10-03 10:20:16,6.0
lacdaytn9xl9quz9fglacdce3zfoicn5,7000002E09CAAS,2022-10-05 11:37:01,3.0
0rohc4z8rl8mcaushj0rohc4x79xlyg5,7000002EKpbAAG,2022-10-10 10:34:06,3.0
6e5a4e6qtshymnps6e5awahujfq5k7fb,7000002aV7AAAU,2022-10-03 17:00:20,5.0
7vkg9w60og3amgc3yyk8r7vkg9w6eba1,7000002aayvAAA,2022-10-05 10:18:00,6.0
rg9q547wvvy9lklxrfrg9qubzqitjina,7000002ab0DAAQ,2022-10-06 08:14:21,8.0
gq1hzgsllxo7ypjur16wz7pgq1hzg3un,7000002bEAEAA2,2022-10-14 15:17:14,6.0
tpddbvuml8oxjafb6tpddbf5npyqdlb8,7000002bEdkAAE,2022-10-14 17:25:17,5.0
2wwlsr7snb61ll2wwuwx044a3awgl4k4,7000002bTo8AAE,2022-10-21 14:48:48,6.0
hzh4nry5xiqy38d8hzh4nqbyjfjb5is2,7000002aPkGAAU,2022-10-04 08:30:58,10.0
48ppzah4k4tsybv3n48ppz02nmgakhdn,7000002aaygAAA,2022-10-03 10:32:10,10.0
0xyz9w8lqrulh0x56ijnnh1k6mruwqzn,7000002aiTMAAY,2022-10-08 06:26:15,8.0
eh6bkzoocyy1dougsfeh6bmcmbigmujf,7000002bEAJAA2,2022-10-19 14:10:39,6.0
4gy0tik03pjlq0bed64gy0wjimfc2xd0,7000002bM6YAAU,2022-10-17 14:48:06,8.0
dllkcxhmhr8dllkwmelotozweqfqqwme,7000002ZawrAAC,2022-10-11 09:46:59,3.0
4n4wklcbplt811ktr4n4wktpg93n7tw8,7000002aDXvAAM,2022-10-10 16:59:04,4.0
u4heasaecn0beu91hqcu4heah02d68qm,7000002aY6JAAU,2022-10-12 13:53:23,5.0
rqj5wwm0phwabwqm5rqj0oofyvhzznlu,7000002Zay9AAC,2022-10-03 19:50:27,10.0
vfbx7cbpvyca3ki6vfb4q4r9968e5fq1,7000002arDYAAY,2022-10-14 18:57:43,6.0
1qs6n9r63p5x671nhlq71qs6nus2zxfm,7000002bxk6AAA,2022-10-21 13:48:12,10.0
73kvdaobhww7fsnqucm73kv9e4x2bjma,7000002b3WcAAI,2022-10-11 13:44:48,9.0
pnzk614ppm19vadwe6f3mpnzk60ufzue,7000002bY2sAAE,2022-10-20 06:32:24,7.0
xa4x88ouv91o3ww7xa4x882wfgmno329,7000002beQNAAY,2022-10-15 16:37:43,3.0
kb2x1hvbffhl89114skb2xz68918q9y4,7000002bqbDAAQ,2022-10-13 20:49:09,2.0
yequbajcd65hm98s9btyequbb4iexvf2,7000002bxGkAAI,2022-10-21 16:46:47,8.0
epr3g00407n70udepr3gnb87a6uahn3l,7000002ZnUWAA0,2022-10-12 17:24:48,4.0
unt3ihpcn42jv0l3ga9dnunt3iq0xrcl,7000002bCjlAAE,2022-10-04 09:23:19,9.0
6lkctoxq7jxn6lkracnlkvd1l3krqmiu,7000002bkwKAAQ,2022-10-03 21:06:06,5.0
ihjvtxp0loypcy8wihjvxyuoxgx02b2o,7000002ZnV0AAK,2022-10-05 09:23:12,7.0
75d9w1x99d9krhviu4wxw75d9wpjrjxp,7000002aCTYAA2,2022-10-14 10:49:07,3.0
lxa4id3br6n654lxoxjbnozlib7qpzy1,7000002acPTAAY,2022-10-03 12:28:50,2.0
00u64avn48yvdg1p0k1ije00u64k79r0,7000002aeXtAAI,2022-10-07 15:00:03,9.0
u0j6vo2yfh5udhysu0j6jag9fv7sspok,7000002ao7XAAQ,2022-10-19 08:59:35,8.0
22pcrnvhfrxrp1zibi22pcrpkl2xylus,7000002awbpAAA,2022-10-12 08:03:10,4.0
g8oz7uli9svevs28m0g8oz7u3q94ow9v,7000002bdffAAA,2022-10-14 20:52:05,3.0
50lmy7wi4cte68zum3wz9b50lmy7wokb,7000002bdowAAA,2022-10-19 11:03:57,2.0
vyqeo8zfhj9ck4atf5nvyqeh1154ioav,7000002bswSAAQ,2022-10-17 14:32:59,9.0
hr9z0zje7evt779fscv45hr9z0w4g1rx,7000002cMUnAAM,2022-10-21 09:56:28,4.0
z1nz8bzqhtpu1cphhyz1nz8a29xnloew,7000002acC5AAI,2022-10-07 20:37:26,10.0
k0t673ypjpshqlpw09k0t6736qs47ssx,7000002ahc3AAA,2022-10-21 09:16:06,6.0
xc0m9em4frzcn4hn869xc0m9vwdudd6i,7000002b6GOAAY,2022-10-21 15:36:51,8.0
3c44ojxij4fxge3c4f9loiifzws865fl,7000002bQPAAA2,2022-10-20 07:57:02,8.0
qgsgtghcsebsy0786lo63ffqgsgtgdtu,7000002ZnkKAAS,2022-10-07 08:37:58,9.0
n3gi91nmsiq5a0rn3gokgejzse3lbuok,7000002ZnkeAAC,2022-10-21 08:39:35,7.0
3q42vejc2cic0g92653q42vejvqxm6u8,7000002awxWAAQ,2022-10-12 13:55:58,3.0
zwlwxpqdprjaaoz0k5j53waufrfmqmo0,7000002azFmAAI,2022-10-14 09:22:20,2.0
k5we68aecd9qw1eprhk5we6kqsxhw0a6,7000002blBPAAY,2022-10-04 21:25:50,5.0
pza1ip0omog6ifgz4pza16gy0tn87dgp,7000002bt4MAAQ,2022-11-01 11:02:08,3.0
7dvui5oiwes1si0h3xi3i7dvui5o7fhq,7000002c08eAAA,2022-10-14 12:45:52,9.0
5aj03sx2iaw9gg01r5aj03i8q8illmde,7000002c4DiAAI,2022-10-10 14:59:35,4.0
m2orho3gpbjde3ezrlm2orhojwy1ufd1,7000002bDEeAAM,2022-10-14 10:36:00,9.0
cd303nysnaekxvkb6cd303e654ey0v7a,7000002bkTwAAI,2022-10-03 14:19:51,9.0
rrzg5vsm5mraj6a7jnrrzg5gr6lt9app,7000002bkqSAAQ,2022-10-03 15:56:14,7.0
krz8b3sgf9vxbyikrz8dm3j004vgeyfa,7000002boEWAAY,2022-10-19 17:30:54,9.0
sylkhkl1n32y1rcrkksylkhp50eg7rh6,7000002Znr1AAC,2022-10-06 08:05:49,8.0
9ae7z6v0oqsn8vlb9ae7zww1ud4927o0,7000002aSJCAA2,2022-10-03 10:26:23,7.0
hofe5by7a77uv0qz7hofe5bug73aw7ui,7000002anOMAAY,2022-10-04 16:14:16,8.0
teo15s8qx6qaqepkctyteo18xmvce96b,7000002apqJAAQ,2022-10-04 16:44:44,5.0
537fbh4fc4i218bbea7537fbhaj5636h,7000002b0Y6AAI,2022-10-08 14:41:30,10.0
nh8vs8roh6lu73dnh8vnhgmey8g3u3tk,7000002ZntlAAC,2022-10-03 14:30:11,7.0
0snfu7vs876zdo1qdug0snfuqe23kyt0,7000002bM3FAAU,2022-10-07 11:53:09,10.0
648r1yz23mldf6648r1qhhoh3cy2oh5d,7000002bdsaAAA,2022-10-13 17:57:50,6.0
nz9g4nrh29bv1hqnz98hred8bi1us64z,7000002aw1DAAQ,2022-11-20 11:57:50,5.0
01vv4v93243xragdt0oocpq8dy1akmu5,7000002bilPAAQ,2022-10-12 15:38:15,5.0
77fqmwsw8a34h77ps077fqmdb0x1po7c,7000002Zo5wAAC,2022-10-04 11:40:03,9.0
yaql41b7xm1l8c86yys3yyaql41zu49h,7000002aKTHAA2,2022-10-13 16:52:03,6.0
vy67jgjcjkzel9vzsvy67jgjcyechm06,7000002aZNoAAM,2022-10-12 18:04:36,3.0
i8lohm2ag01cxqi8loct8vlcfrs2v3en,7000002ac9GAAQ,2022-10-04 15:30:31,8.0
7y9r5bdt3qx5hlyvs7y9r5ba9zgycty5,7000002aeg2AAA,2022-10-04 18:47:30,8.0
yao0ai11pd7vmqw96d7yao0aqob0n651,7000002atIzAAI,2022-10-19 17:46:18,9.0
prdxssetxetwrb5h9m4vy9prdxssetdw,7000002b7XpAAI,2022-10-12 14:49:08,3.0
19dm2m9m3aulextw04ie19dm28hj83s2,7000002bA7kAAE,2022-10-19 16:46:03,9.0
p3n419wbiuke6guisp3n419st6rp6pq8,7000002bDd5AAE,2022-10-10 12:43:33,7.0
0vcl5918166dtr7p0vc1l0r6oy91jpgb,7000002bYnPAAU,2022-10-19 19:11:50,8.0
xijv9480brumsr6icsxij1mx2mylr9ij,7000002biy4AAA,2022-10-19 15:27:50,6.0
msr91p6ehl8mjxfrpszxh7msr91p7dtf,7000002aefnAAA,2022-10-05 10:14:20,9.0
p942t55qxefiek6jytp94ojvh2ya6bon,7000002ajhFAAQ,2022-10-19 10:50:45,7.0
9gevs4wnichb21j9gevshh647cwiu42c,7000002ar2kAAA,2022-10-11 17:33:50,4.0
c3sw83k87ymd2jt1lk6c3sw81y0l3agj,7000002aveOAAQ,2022-10-12 16:20:25,1.0
giuptwi9glexrfw6jgiupv6hhygdh907,7000002awZPAAY,2022-10-11 05:53:02,6.0
kwj8oa45hwm479skwj8fzjj5mqvxyciu,7000002bCgwAAE,2022-10-10 17:12:36,7.0
yopn2ot3uq3yofj8z7j1iqcgiy2z23fj,7000002bPnGAAU,2022-10-17 19:00:40,8.0
ix6kfse2brrs00ixk3uocr82vy1z8fs8,7000002ZptOAAS,2022-10-03 17:05:26,6.0
xa87ick4uwfia5r50tr97kxebxa87ick,7000002akwqAAA,2022-10-13 09:53:25,5.0
p07od0t3rjksmavnjpqoasp07odzmbe8,7000002aqq5AAA,2022-10-06 19:00:39,8.0
w0hiwn9vas6zo5ld1svfold8w0hiwn99,7000002aqr8AAA,2022-11-02 14:46:25,2.0
e1jtrvx2h74lc9s1ziy1e1jtrxeswl8n,7000002atRmAAI,2022-10-10 16:13:37,10.0
d1zdamlz4oeaxfrd1zdv6rwrd98mh3fe,7000002atZCAAY,2022-10-20 12:32:11,8.0
3fa5k15xkz185ry9dd3fa5opkp1ijgiy,7000002b1vzAAA,2022-10-14 13:10:36,5.0
42h1c7rwe2k0g42h1c2uzijviteq2el4,7000002b2GOAAY,2022-10-13 19:44:32,3.0
urdkzx243fmt1hqurdkzxmuknt27t21q,7000002bFc9AAE,2022-10-21 09:41:49,9.0
pajl8c4i0uiqorfzvrfipajl8likk4t6,7000002bGaEAAU,2022-10-14 09:55:45,1.0
6kgvfs05cenk62bozz6kgvpief6qaxt6,7000002bHV5AAM,2022-10-15 07:13:22,5.0
2kk1pbqv7angdl92m6rh2kk1pby6p576,7000002bIbmAAE,2022-10-21 09:47:56,6.0
at3mgbi7wngxpj9pe9qbat3mgbo64624,7000002bLfIAAU,2022-10-21 17:22:26,7.0
haed06fucx48c4jqp9haed0fqoddk2w5,7000002bQL8AAM,2022-10-18 13:36:54,3.0
mayjtipj0oqs8bhmp6rmayjhuhsjdgoe,7000002bbTDAAY,2022-10-20 04:15:57,7.0
p9q0lar7tz9a7mcp9q05oiw754ftqcw8,7000002bhAhAAI,2022-10-23 04:19:58,5.0
v952whc0t1su15ixl3n5v952whc05srf,7000002birNAAQ,2022-10-12 13:29:50,3.0
olwp8nky1one6yek3kw16rolwp8nl3ci,7000002c3UJAAY,2022-10-15 10:14:28,4.0
v9emosvvlnixa3ktv3g9v9emt2yryz06,7000002c7ZIAAY,2022-10-18 17:30:27,7.0
xo7bgomp3vidyjh72e3mys9xo7bgompz,7000002c7oNAAQ,2022-10-17 19:29:42,9.0
5j3d675l5auijilm5j3d67au8dys1hib,7000002cJOmAAM,2022-10-23 08:18:21,9.0
mqhkcvw5sjlvfpqfwgd03mqhkcvs9214,7000002aejQAAQ,2022-10-20 06:50:36,10.0
x35n75gp6gl8h41dx35n75jvwjpijbor,7000002aqMAAAY,2022-10-05 15:54:49,10.0
pg66jilgw84ykvhoj05upg6vp5fskv70,7000002aqqpAAA,2022-10-05 18:19:56,10.0
k6moeahtbm5hpgn5y70n4k6moeahu7iy,7000002aqrrAAA,2022-10-05 10:33:23,7.0
p8u5j20v359kom1cvp8u5vrrgrgl5xh0,7000002aqsaAAA,2022-10-11 19:28:08,5.0
nppmikzkav9mdowoc89jnppmi5ogos4s,7000002aqt4AAA,2022-10-07 07:08:10,8.0
79m50b0iow2tfpq79m5xn3h2o4jdp2wh,7000002atPRAAY,2022-10-06 11:19:05,4.0
sqfb6wrpvf5ot2fksqfnplf1p9wxiqxy,7000002b3niAAA,2022-10-14 19:28:49,4.0
cx72gxgf9fa58c7vcx7aaaewn2b5ogf1,7000002bLlzAAE,2022-10-18 17:11:04,6.0
i6bm4xcfeq6b2p6i6bpwrjz8oltl19w2,7000002bPV2AAM,2022-10-14 10:44:24,4.0
93q04y6u7vcfzg393q04cheu8gdwbzsk,7000002bVM1AAM,2022-10-15 05:45:29,3.0
9gzc5isf0cwi7wnx3aq89gzc13r3nacr,7000002bYHYAA2,2022-10-19 16:50:48,7.0
tcld98rikalwqndgj8s2tcld9txpdf92,7000002biB2AAI,2022-10-20 12:53:05,9.0
vrh4o738ntf9t1srwvrh4m75q942pj5i,7000002cMVgAAM,2022-10-19 20:19:03,6.0
ipwgmqazc31f1p9gipwgbggce3zya779,7000002cPnYAAU,2022-10-21 10:37:08,4.0
77mm8jrdig4i3dpd9tsv877mm8cbotg1,7000002cckEAAQ,2022-10-20 18:12:42,9.0
mu6un674abme2a9oqfvhcgmu6un6ijq0,7000002ZqBXAA0,2022-10-11 17:22:14,9.0
3fr1q2zzhhlf6z6y3fr1cy3fig0jjlxj,7000002a2TEAAY,2022-10-03 13:43:42,8.0
o7j9x13yyjr9da89yo7j9x10w5jyrdnp,7000002b4TzAAI,2022-10-04 15:03:39,9.0
1cv9ey8x51zn84w501cv9ai836cq49r9,7000002b4nuAAA,2022-10-04 16:17:34,7.0
mgoc793ymkm2yny0rmgoc79gy657bma2,7000002b54XAAQ,2022-10-06 10:17:39,7.0
wu2q7ybe7ty87d7bwu2qj0mbp1vl3ov0,7000002bAhAAAU,2022-10-06 10:35:13,10.0
2uy6fq5cecwt7av7tu2or2uy6f7jrtab,7000002bEhwAAE,2022-10-08 00:35:38,4.0
i97imkyllmnsrpr7pgy6ti97if4crhdb,7000002bF2VAAU,2022-10-08 13:18:29,5.0
f7pgokbhdb9kff7pg5yt84dcnge2muy0,7000002bHsJAAU,2022-10-14 19:14:44,6.0
8oe4fl1uda647f7dxxr8oe4f5wrdahff,7000002bXOsAAM,2022-10-03 13:56:47,4.0
r0wr35x0luv7v2rr0wr3am8v4e0eahhn,7000002bXzoAAE,2022-10-10 09:37:00,8.0
nq5rkdlyiz445cpphnq5rkdqg6yqpj6x,7000002bbqgAAA,2022-10-14 10:54:58,2.0
8vtqpomlwaacni9g8vtqp0buvh79ewed,7000002bt8EAAQ,2022-10-08 06:28:26,9.0
fi00ewf8imrmfajhvfi00ev7q6tlbyuf,7000002bxK3AAI,2022-10-13 11:13:09,5.0
hwzy2htl6a3mlen8k0m9uhwzy2h5tfx6,7000002ablsAAA,2022-10-08 06:06:19,8.0
wylxorb6f5phuvfwylxornu5n3gfcerw,7000002at8aAAA,2022-10-10 10:03:54,6.0
1txtoxxz2kge7k3pyd7y81txtocfhrz9,7000002ayPIAAY,2022-10-08 06:33:08,8.0
tcigw3l393qlu0bi8tcigw3lbngynta8,7000002azZcAAI,2022-10-05 12:01:58,8.0
md9dqws7b4e0cj1qhkfnmd9dqw3g5s4e,7000002b1tKAAQ,2022-10-12 10:31:40,1.0
yaryt40dkwz7x87yarytqnq8bhngwqxo,7000002b3uyAAA,2022-10-06 18:39:19,9.0
o0kg0qlxpiahp22b3v0o0kg0qzp29a7r,7000002bBsNAAU,2022-10-03 16:08:27,5.0
fax4y384s93sokvwabfax4y30646b1sw,7000002bE8wAAE,2022-10-05 07:24:32,3.0
y81qn8wgbnaojpy81ksxxd5vemrfp52a,7000002bEHeAAM,2022-10-07 20:40:51,3.0
ixt4s6tpylj6hmfrv1qiixt4s61wwgzs,7000002bEpHAAU,2022-10-07 21:09:46,8.0
n53onq0s80ie18izkn53owiw5ersansm,7000002bF6NAAU,2022-10-06 10:56:25,10.0
0n69njxmd2gqcbxy7hs0n69nj6f9wevs,7000002bH1FAAU,2022-10-10 14:02:30,7.0
xjzt7tassfe7o9ppz5qofxjzt7tasy2l,7000002bHAWAA2,2022-10-13 12:02:27,5.0
m4x0zyv2m7sblsm4x0z61y6lbm5rdfe9,7000002bLa3AAE,2022-10-12 13:06:14,8.0
bl23g2ltl8k73fi09yj0bl23g2ltm0hr,7000002bQmYAAU,2022-10-14 13:39:02,8.0
8u0qqmjo5nyd6l348u0qvia6ds2j9hf5,7000002bco8AAA,2022-10-10 16:18:05,6.0
k7a8lfmh7y0qur5lbk7a8lfhyp04ehug,7000002bhXgAAI,2022-10-08 12:57:24,6.0
qx1kub7jlwtxrzmcvqx1kub7biuxq12x,7000002biO6AAI,2022-10-05 08:45:37,7.0
6pzvrupkb7ma2nui8zilh6pzvrupk6c9,7000002blKWAAY,2022-10-03 10:25:17,6.0
ubap0uwstj5vwj4oesubap0ussttkk4k,7000002bsGMAAY,2022-10-11 13:18:57,3.0
qm0dcpaatjdb6rsknfkeqm0gajmjreci,7000002c3tsAAA,2022-10-13 05:46:07,5.0
ngfp1hk3dbd4ywh0nhvyjngfp1hkuh2r,7000002ZqZZAA0,2022-10-11 17:35:40,4.0
f2a1676n4sujh2e2tl0f2a16yy7md8t4,7000002ZstgAAC,2022-10-19 08:49:52,9.0
p5js9yrclbzrilp5js9yrcxlf4p18og9,7000002aVaGAAU,2022-10-06 15:07:24,5.0
